BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 777	778	| 211	222
2	16040	| 21	5	| 733	778	| 215	222
3	30789	| 21	5	| 760	778	| 204	222
4	45659	| 21	5	| 724	778	| 215	222
5	60416	| 21	5	| 732	778	| 208	222
6	75184	| 21	5	| 709	778	| 213	222
7	89965	| 21	5	| 733	778	| 217	222
8	104786	| 21	5	| 777	778	| 215	222
9	119663	| 21	5	| 740	778	| 215	222
10	134455	| 21	5	| 775	778	| 215	222
11	149407	| 21	5	| 778	778	| 217	222
12	163403	| 21	5	| 741	778	| 216	222
13	178176	| 21	5	| 769	778	| 205	222
14	192129	| 21	5	| 777	778	| 217	222
15	207047	| 21	5	| 775	778	| 210	222
16	220998	| 21	5	| 744	778	| 202	222
17	235778	| 21	5	| 775	778	| 217	222
18	249721	| 21	5	| 778	778	| 210	222
19	264620	| 21	5	| 744	778	| 215	222
20	279628	| 21	5	| 769	778	| 215	222
21	294420	| 21	5	| 764	778	| 213	222
22	309367	| 21	5	| 777	778	| 215	222
23	324276	| 21	5	| 772	778	| 217	222
24	339777	| 21	5	| 777	778	| 217	222
25	353778	| 21	5	| 778	778	| 213	222
26	368670	| 21	5	| 774	778	| 215	222
27	383588	| 21	5	| 768	778	| 211	222
28	398449	| 21	5	| 757	778	| 214	222
29	412433	| 21	5	| 776	778	| 214	222
30	427378	| 21	5	| 777	778	| 216	222
done	441722
