BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 2328	2336	| 646	664
2	15885	| 21	5	| 2327	2336	| 649	664
3	30577	| 21	5	| 2324	2336	| 647	664
4	45278	| 21	5	| 2331	2336	| 649	664
5	59938	| 21	5	| 2331	2336	| 638	664
6	74495	| 21	5	| 2331	2336	| 641	664
7	89016	| 21	5	| 2334	2336	| 649	664
8	103543	| 21	5	| 2329	2336	| 652	664
9	118238	| 21	5	| 2324	2336	| 638	664
10	132821	| 21	5	| 2312	2336	| 642	664
11	147426	| 21	5	| 2330	2336	| 636	664
12	162045	| 21	5	| 2324	2336	| 651	664
13	176749	| 21	5	| 2334	2336	| 649	664
14	191345	| 21	5	| 2333	2336	| 657	664
15	205948	| 21	5	| 2330	2336	| 651	664
16	220612	| 21	5	| 2333	2336	| 657	664
17	235207	| 21	5	| 2310	2336	| 643	664
18	249731	| 21	5	| 2328	2336	| 643	664
19	264506	| 21	5	| 2325	2336	| 650	664
20	279170	| 21	5	| 2282	2336	| 627	664
21	293772	| 21	5	| 2303	2336	| 645	664
22	308348	| 21	5	| 2281	2336	| 623	664
23	322962	| 21	5	| 2330	2336	| 645	664
24	337637	| 21	5	| 2328	2336	| 651	664
25	352250	| 21	5	| 2331	2336	| 649	664
26	366939	| 21	5	| 2300	2336	| 647	664
27	381488	| 21	5	| 2327	2336	| 655	664
28	396189	| 21	5	| 2315	2336	| 650	664
29	410732	| 21	5	| 2326	2336	| 648	664
30	425421	| 21	5	| 2320	2336	| 650	664
done	439468
