BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1209	| 21	5	| 775	778	| 214	222
2	16055	| 21	5	| 743	778	| 215	222
3	30855	| 21	5	| 776	778	| 218	222
4	45768	| 21	5	| 753	778	| 214	222
5	60576	| 21	5	| 770	778	| 217	222
6	75385	| 21	5	| 734	778	| 218	222
7	90176	| 21	5	| 741	778	| 216	222
8	104935	| 21	5	| 738	778	| 211	222
9	119686	| 21	5	| 752	778	| 218	222
10	134479	| 21	5	| 740	778	| 216	222
11	149288	| 21	5	| 742	778	| 215	222
12	164025	| 21	5	| 776	778	| 217	222
13	177961	| 21	5	| 768	778	| 215	222
14	191964	| 21	5	| 768	778	| 212	222
15	206771	| 21	5	| 744	778	| 217	222
16	221549	| 21	5	| 741	778	| 208	222
17	236290	| 21	5	| 750	778	| 213	222
18	251080	| 21	5	| 749	778	| 219	222
19	265870	| 21	5	| 717	778	| 218	222
20	280629	| 21	5	| 739	778	| 216	222
21	295454	| 21	5	| 751	778	| 213	222
22	310263	| 21	5	| 774	778	| 214	222
23	325181	| 21	5	| 746	778	| 211	222
24	340009	| 21	5	| 768	778	| 215	222
25	354920	| 21	5	| 727	778	| 217	222
26	369729	| 21	5	| 776	778	| 215	222
27	384697	| 21	5	| 777	778	| 213	222
28	398708	| 21	5	| 739	778	| 219	222
29	413455	| 21	5	| 737	778	| 214	222
30	428206	| 21	5	| 744	778	| 122	222
done	442388
