BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1237	| 21	5	| 776	778	| 215	222
2	16944	| 21	5	| 742	778	| 215	222
3	31700	| 21	5	| 747	778	| 216	222
4	46445	| 21	5	| 773	778	| 206	222
5	60420	| 21	5	| 770	778	| 209	222
6	75207	| 21	5	| 772	778	| 214	222
7	89957	| 21	5	| 745	778	| 212	222
8	104708	| 21	5	| 770	778	| 216	222
9	119511	| 21	5	| 777	778	| 215	222
10	134309	| 21	5	| 761	778	| 214	222
11	149108	| 21	5	| 770	778	| 209	222
12	163939	| 21	5	| 760	778	| 216	222
13	178732	| 21	5	| 751	778	| 217	222
14	193546	| 21	5	| 778	778	| 211	222
15	208551	| 21	5	| 778	778	| 215	222
16	223454	| 21	5	| 764	778	| 213	222
17	238259	| 21	5	| 737	778	| 216	222
18	253059	| 21	5	| 777	778	| 215	222
19	267982	| 21	5	| 774	778	| 216	222
20	282871	| 21	5	| 776	778	| 215	222
21	297728	| 21	5	| 745	778	| 217	222
22	312474	| 21	5	| 758	778	| 215	222
23	327267	| 21	5	| 777	778	| 210	222
24	342168	| 21	5	| 776	778	| 217	222
25	357093	| 21	5	| 760	778	| 216	222
26	371879	| 21	5	| 771	778	| 218	222
27	386691	| 21	5	| 765	778	| 214	222
28	401521	| 21	5	| 777	778	| 211	222
29	416483	| 21	5	| 777	778	| 217	222
30	431405	| 21	5	| 743	778	| 207	222
done	445596
