BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1210	| 21	5	| 6974	7010	| 1924	1990
2	15332	| 21	5	| 6967	7010	| 1915	1990
3	29320	| 21	5	| 6986	7010	| 1942	1990
4	44175	| 21	5	| 6978	7010	| 1948	1990
5	59144	| 21	5	| 6984	7010	| 1949	1990
6	73093	| 21	5	| 6995	7010	| 1280	1990
7	87125	| 21	5	| 6995	7010	| 1938	1990
8	102036	| 21	5	| 6984	7010	| 1944	1990
9	116919	| 21	5	| 6996	7010	| 1934	1990
10	131756	| 21	5	| 6970	7010	| 1959	1990
11	145740	| 21	5	| 6988	7010	| 1958	1990
12	161066	| 21	5	| 7001	7010	| 1929	1990
13	175076	| 21	5	| 6962	7010	| 1958	1990
14	189064	| 21	5	| 6996	7010	| 1953	1990
15	203915	| 21	5	| 6996	7010	| 1919	1990
16	217917	| 21	5	| 6999	7010	| 1952	1990
17	231937	| 21	5	| 6995	7010	| 1948	1990
18	245881	| 21	5	| 6992	7010	| 1972	1990
19	259923	| 21	5	| 6990	7010	| 1960	1990
20	274109	| 21	5	| 6911	7010	| 1933	1990
21	288300	| 21	5	| 6998	7010	| 1964	1990
22	303188	| 21	5	| 6962	7010	| 981	1990
23	318128	| 21	5	| 6984	7010	| 1953	1990
24	332184	| 21	5	| 6947	7010	| 1963	1990
25	346205	| 21	5	| 6977	7010	| 1946	1990
26	360381	| 21	5	| 6947	7010	| 1942	1990
27	374381	| 21	5	| 6951	7010	| 1944	1990
28	388357	| 21	5	| 6965	7010	| 1955	1990
29	403276	| 21	5	| 6987	7010	| 1937	1990
30	417227	| 21	5	| 6969	7010	| 1938	1990
done	431609
