BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1196	| 21	5	| 6839	7010	| 1833	1990
2	15389	| 21	5	| 6777	7010	| 1735	1990
3	29745	| 21	5	| 6763	7010	| 1418	1990
4	44334	| 21	5	| 6869	7010	| 1717	1990
5	60159	| 21	5	| 6614	7010	| 1709	1990
6	74511	| 21	5	| 6385	7010	| 1883	1990
7	88853	| 21	5	| 6492	7010	| 1501	1990
8	103212	| 21	5	| 6486	7010	| 1504	1990
9	117636	| 21	5	| 6512	7010	| 1454	1990
10	132713	| 21	5	| 6927	7010	| 1536	1990
11	147263	| 21	5	| 6734	7010	| 1690	1990
12	161649	| 21	5	| 6851	7010	| 1613	1990
13	175887	| 21	5	| 6830	7010	| 1664	1990
14	190264	| 21	5	| 5828	7010	| 1708	1990
15	205032	| 21	5	| 5984	7010	| 1402	1990
16	219348	| 21	5	| 5972	7010	| 1696	1990
17	233872	| 21	5	| 5965	7010	| 1663	1990
18	248151	| 21	5	| 5947	7010	| 1562	1990
19	262971	| 21	5	| 6424	7010	| 1521	1990
20	277105	| 21	5	| 6592	7010	| 1686	1990
21	291338	| 21	5	| 6577	7010	| 1679	1990
22	305748	| 21	5	| 6616	7010	| 1727	1990
23	319929	| 21	5	| 6621	7010	| 1696	1990
24	334116	| 21	5	| 6591	7010	| 1465	1990
25	348748	| 21	5	| 6558	7010	| 1658	1990
26	363176	| 21	5	| 6923	7010	| 1748	1990
27	377389	| 21	5	| 6887	7010	| 1704	1990
28	391705	| 21	5	| 6783	7010	| 1501	1990
29	405898	| 21	5	| 5989	7010	| 1699	1990
30	420369	| 21	5	| 6007	7010	| 1795	1990
done	434079
