BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1195	| 21	5	| 6997	7010	| 1925	1990
2	15996	| 21	5	| 6985	7010	| 1922	1990
3	29913	| 21	5	| 6989	7010	| 1927	1990
4	44824	| 21	5	| 6997	7010	| 1929	1990
5	59744	| 21	5	| 6993	7010	| 1924	1990
6	74649	| 21	5	| 7000	7010	| 1925	1990
7	89480	| 21	5	| 6999	7010	| 1949	1990
8	104284	| 21	5	| 7001	7010	| 1940	1990
9	118262	| 21	5	| 6992	7010	| 1939	1990
10	132408	| 21	5	| 7006	7010	| 1927	1990
11	146392	| 21	5	| 7002	7010	| 1943	1990
12	160357	| 21	5	| 7001	7010	| 1938	1990
13	175226	| 21	5	| 6994	7010	| 1946	1990
14	190047	| 21	5	| 6993	7010	| 1947	1990
15	204871	| 21	5	| 6993	7010	| 1951	1990
16	219708	| 21	5	| 6995	7010	| 1939	1990
17	234584	| 21	5	| 6989	7010	| 1933	1990
18	249478	| 21	5	| 7001	7010	| 1936	1990
19	263693	| 21	5	| 6990	7010	| 1928	1990
20	277681	| 21	5	| 6993	7010	| 1941	1990
21	291677	| 21	5	| 6998	7010	| 1943	1990
22	305683	| 21	5	| 6983	7010	| 1932	1990
23	320573	| 21	5	| 6982	7010	| 1942	1990
24	334551	| 21	5	| 6987	7010	| 1948	1990
25	348548	| 21	5	| 6985	7010	| 1929	1990
26	362550	| 21	5	| 7006	7010	| 1937	1990
27	376532	| 21	5	| 6999	7010	| 1948	1990
28	391482	| 21	5	| 6993	7010	| 1951	1990
29	406380	| 21	5	| 7001	7010	| 1955	1990
30	421169	| 21	5	| 7007	7010	| 1934	1990
done	435559
