BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 3285	3894	| 985	1106
2	15916	| 21	5	| 3476	3894	| 778	1106
3	30729	| 21	5	| 3720	3894	| 826	1106
4	45532	| 21	5	| 3697	3894	| 798	1106
5	60198	| 21	5	| 3796	3894	| 832	1106
6	74188	| 21	5	| 3376	3894	| 927	1106
7	88897	| 21	5	| 3824	3894	| 851	1106
8	103670	| 21	5	| 3862	3894	| 821	1106
9	118299	| 21	5	| 3862	3894	| 704	1106
10	133107	| 21	5	| 3862	3894	| 929	1106
11	147959	| 21	5	| 3829	3894	| 1063	1106
12	162607	| 21	5	| 3868	3894	| 1057	1106
13	177268	| 21	5	| 3812	3894	| 1040	1106
14	191156	| 21	5	| 3869	3894	| 886	1106
15	205973	| 21	5	| 3862	3894	| 1074	1106
16	220973	| 21	5	| 3874	3894	| 910	1106
17	235788	| 21	5	| 3830	3894	| 846	1106
18	250557	| 21	5	| 3867	3894	| 800	1106
19	265457	| 21	5	| 3794	3894	| 784	1106
20	280209	| 21	5	| 3781	3894	| 1061	1106
21	294980	| 21	5	| 3471	3894	| 1081	1106
22	309651	| 21	5	| 3739	3894	| 1070	1106
23	324228	| 21	5	| 3724	3894	| 884	1106
24	338978	| 21	5	| 3671	3894	| 815	1106
25	353840	| 21	5	| 3727	3894	| 1088	1106
26	368783	| 21	5	| 3547	3894	| 1007	1106
27	383523	| 21	5	| 3674	3894	| 1069	1106
28	398269	| 21	5	| 3745	3894	| 962	1106
29	413505	| 21	5	| 3513	3894	| 954	1106
30	428170	| 21	5	| 3587	3894	| 936	1106
done	442218
