BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1197	| 21	5	| 6971	7010	| 1900	1990
2	15525	| 21	5	| 6978	7010	| 1944	1990
3	29633	| 21	5	| 6966	7010	| 1916	1990
4	43748	| 21	5	| 6983	7010	| 1936	1990
5	57886	| 21	5	| 6978	7010	| 1919	1990
6	72079	| 21	5	| 6975	7010	| 1937	1990
7	86097	| 21	5	| 6989	7010	| 1933	1990
8	100258	| 21	5	| 6963	7010	| 1938	1990
9	114332	| 21	5	| 6929	7010	| 1931	1990
10	128332	| 21	5	| 6953	7010	| 1911	1990
11	142554	| 21	5	| 6974	7010	| 1941	1990
12	156522	| 21	5	| 6982	7010	| 1936	1990
13	170630	| 21	5	| 6991	7010	| 1945	1990
14	184831	| 21	5	| 6980	7010	| 1937	1990
15	198884	| 21	5	| 6945	7010	| 1918	1990
16	213681	| 21	5	| 6959	7010	| 1945	1990
17	227751	| 21	5	| 6992	7010	| 1942	1990
18	241865	| 21	5	| 6980	7010	| 1907	1990
19	256064	| 21	5	| 7003	7010	| 1942	1990
20	270064	| 21	5	| 6999	7010	| 1935	1990
21	284273	| 21	5	| 6995	7010	| 1938	1990
22	298216	| 21	5	| 6979	7010	| 1923	1990
23	312328	| 21	5	| 6974	7010	| 1931	1990
24	326433	| 21	5	| 6988	7010	| 1942	1990
25	340586	| 21	5	| 6998	7010	| 1943	1990
26	354987	| 21	5	| 6985	7010	| 1950	1990
27	369244	| 21	5	| 6965	7010	| 1903	1990
28	383611	| 21	5	| 6936	7010	| 1944	1990
29	397825	| 21	5	| 6984	7010	| 1933	1990
30	412008	| 21	5	| 6954	7010	| 1940	1990
done	425580
