BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 3891	3894	| 1079	1106
2	15722	| 21	5	| 3891	3894	| 1076	1106
3	30172	| 21	5	| 3886	3894	| 1064	1106
4	44490	| 21	5	| 3892	3894	| 1087	1106
5	59002	| 21	5	| 3891	3894	| 1071	1106
6	73435	| 21	5	| 3884	3894	| 1069	1106
7	87806	| 21	5	| 3880	3894	| 1051	1106
8	102393	| 21	5	| 3865	3894	| 1085	1106
9	116773	| 21	5	| 3803	3894	| 1083	1106
10	131322	| 21	5	| 3819	3894	| 1083	1106
11	145979	| 21	5	| 3863	3894	| 1078	1106
12	160605	| 21	5	| 3884	3894	| 1080	1106
13	175237	| 21	5	| 3829	3894	| 1078	1106
14	189812	| 21	5	| 3781	3894	| 1069	1106
15	204423	| 21	5	| 3853	3894	| 1084	1106
16	219098	| 21	5	| 3830	3894	| 1068	1106
17	233722	| 21	5	| 3829	3894	| 1073	1106
18	248207	| 21	5	| 3863	3894	| 1073	1106
19	262791	| 21	5	| 3881	3894	| 1074	1106
20	277295	| 21	5	| 3826	3894	| 1063	1106
21	291946	| 21	5	| 3872	3894	| 1077	1106
22	306558	| 21	5	| 3882	3894	| 1079	1106
23	321037	| 21	5	| 3821	3894	| 1085	1106
24	335413	| 21	5	| 3865	3894	| 1083	1106
25	349877	| 21	5	| 3855	3894	| 1080	1106
26	364696	| 21	5	| 3861	3894	| 1069	1106
27	379413	| 21	5	| 3859	3894	| 1080	1106
28	393915	| 21	5	| 3881	3894	| 1085	1106
29	408506	| 21	5	| 3855	3894	| 1082	1106
30	423053	| 21	5	| 3882	3894	| 1081	1106
done	436947
