BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1216	| 21	5	| 3873	3894	| 1066	1106
2	15718	| 21	5	| 3874	3894	| 1080	1106
3	30243	| 21	5	| 3882	3894	| 1080	1106
4	44905	| 21	5	| 3844	3894	| 1071	1106
5	59410	| 21	5	| 3868	3894	| 1081	1106
6	74010	| 21	5	| 3832	3894	| 1085	1106
7	88376	| 21	5	| 3847	3894	| 1084	1106
8	102733	| 21	5	| 3877	3894	| 1081	1106
9	117287	| 21	5	| 3879	3894	| 1067	1106
10	131777	| 21	5	| 3867	3894	| 1083	1106
11	146267	| 21	5	| 3825	3894	| 1094	1106
12	160658	| 21	5	| 3870	3894	| 1093	1106
13	175036	| 21	5	| 3862	3894	| 1066	1106
14	189634	| 21	5	| 3880	3894	| 1085	1106
15	204639	| 21	5	| 3882	3894	| 1060	1106
16	219040	| 21	5	| 3886	3894	| 1060	1106
17	233606	| 21	5	| 3826	3894	| 1065	1106
18	248014	| 21	5	| 3863	3894	| 1069	1106
19	262317	| 21	5	| 3876	3894	| 1066	1106
20	276804	| 21	5	| 3878	3894	| 1066	1106
21	291205	| 21	5	| 3876	3894	| 1065	1106
22	305726	| 21	5	| 3862	3894	| 1051	1106
23	320274	| 21	5	| 3804	3894	| 1080	1106
24	334709	| 21	5	| 3874	3894	| 1073	1106
25	349235	| 21	5	| 3882	3894	| 1074	1106
26	363657	| 21	5	| 3868	3894	| 1076	1106
27	377943	| 21	5	| 3886	3894	| 1072	1106
28	392476	| 21	5	| 3884	3894	| 1073	1106
29	406944	| 21	5	| 3888	3894	| 1068	1106
30	421434	| 21	5	| 3881	3894	| 1076	1106
done	435297
