BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1215	| 21	5	| 5430	5452	| 1517	1548
2	15466	| 21	5	| 5427	5452	| 1508	1548
3	29657	| 21	5	| 5441	5452	| 1515	1548
4	43865	| 21	5	| 5442	5452	| 1508	1548
5	58165	| 21	5	| 5431	5452	| 1506	1548
6	72373	| 21	5	| 5439	5452	| 1512	1548
7	86535	| 21	5	| 5426	5452	| 1508	1548
8	100655	| 21	5	| 5441	5452	| 1523	1548
9	114657	| 21	5	| 5425	5452	| 1515	1548
10	128846	| 21	5	| 5434	5452	| 1530	1548
11	142974	| 21	5	| 5440	5452	| 1527	1548
12	157187	| 21	5	| 5437	5452	| 1521	1548
13	171568	| 21	5	| 5442	5452	| 1536	1548
14	185776	| 21	5	| 5439	5452	| 1530	1548
15	199970	| 21	5	| 5446	5452	| 1527	1548
16	214109	| 21	5	| 5444	5452	| 1529	1548
17	228368	| 21	5	| 5442	5452	| 1521	1548
18	242650	| 21	5	| 5440	5452	| 1520	1548
19	256784	| 21	5	| 5444	5452	| 1508	1548
20	271160	| 21	5	| 5428	5452	| 1494	1548
21	285479	| 21	5	| 5440	5452	| 1515	1548
22	299607	| 21	5	| 5440	5452	| 1509	1548
23	313747	| 21	5	| 5439	5452	| 1518	1548
24	327876	| 21	5	| 5421	5452	| 1503	1548
25	341933	| 21	5	| 5433	5452	| 1512	1548
26	356137	| 21	5	| 5442	5452	| 1502	1548
27	370342	| 21	5	| 5430	5452	| 1510	1548
28	384342	| 21	5	| 5441	5452	| 1492	1548
29	398543	| 21	5	| 5432	5452	| 1501	1548
30	412591	| 21	5	| 5443	5452	| 1506	1548
done	426140
