BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1205	| 21	5	| 2325	2336	| 647	664
2	15841	| 21	5	| 2324	2336	| 636	664
3	30567	| 21	5	| 2258	2336	| 636	664
4	45394	| 21	5	| 2326	2336	| 648	664
5	60117	| 21	5	| 2327	2336	| 647	664
6	74906	| 21	5	| 2294	2336	| 630	664
7	89507	| 21	5	| 2286	2336	| 646	664
8	104165	| 21	5	| 2305	2336	| 619	664
9	119045	| 21	5	| 2310	2336	| 634	664
10	133907	| 21	5	| 2323	2336	| 630	664
11	148697	| 21	5	| 2259	2336	| 631	664
12	163377	| 21	5	| 2300	2336	| 638	664
13	178143	| 21	5	| 2326	2336	| 634	664
14	192906	| 21	5	| 2309	2336	| 626	664
15	207706	| 21	5	| 2318	2336	| 647	664
16	222283	| 21	5	| 2328	2336	| 646	664
17	236917	| 21	5	| 2328	2336	| 640	664
18	251536	| 21	5	| 2326	2336	| 641	664
19	266278	| 21	5	| 2319	2336	| 644	664
20	281001	| 21	5	| 2331	2336	| 651	664
21	295692	| 21	5	| 2320	2336	| 646	664
22	310401	| 21	5	| 2331	2336	| 648	664
23	325075	| 21	5	| 2323	2336	| 650	664
24	339870	| 21	5	| 2298	2336	| 649	664
25	354429	| 21	5	| 2325	2336	| 647	664
26	369180	| 21	5	| 2305	2336	| 646	664
27	383949	| 21	5	| 2309	2336	| 649	664
28	398538	| 21	5	| 2303	2336	| 633	664
29	413218	| 21	5	| 2328	2336	| 643	664
30	428072	| 21	5	| 2304	2336	| 630	664
done	442119
