BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1207	| 21	5	| 2311	2336	| 654	664
2	15776	| 21	5	| 2322	2336	| 638	664
3	30567	| 21	5	| 2301	2336	| 653	664
4	45254	| 21	5	| 2321	2336	| 650	664
5	60055	| 21	5	| 2305	2336	| 651	664
6	74626	| 21	5	| 2332	2336	| 653	664
7	89348	| 21	5	| 2322	2336	| 635	664
8	104186	| 21	5	| 2278	2336	| 638	664
9	118988	| 21	5	| 2293	2336	| 650	664
10	133575	| 21	5	| 2320	2336	| 650	664
11	148348	| 21	5	| 2294	2336	| 643	664
12	163044	| 21	5	| 2303	2336	| 640	664
13	177769	| 21	5	| 2288	2336	| 653	664
14	192387	| 21	5	| 2328	2336	| 646	664
15	207136	| 21	5	| 2300	2336	| 633	664
16	221917	| 21	5	| 2316	2336	| 478	664
17	236589	| 21	5	| 2328	2336	| 625	664
18	251458	| 21	5	| 2333	2336	| 645	664
19	266028	| 21	5	| 2331	2336	| 630	664
20	280677	| 21	5	| 2286	2336	| 647	664
21	295281	| 21	5	| 2325	2336	| 650	664
22	310059	| 21	5	| 2330	2336	| 639	664
23	324839	| 21	5	| 2287	2336	| 641	664
24	339643	| 21	5	| 2262	2336	| 650	664
25	354239	| 21	5	| 2306	2336	| 648	664
26	368901	| 21	5	| 2278	2336	| 652	664
27	383492	| 21	5	| 2325	2336	| 637	664
28	398293	| 21	5	| 2273	2336	| 639	664
29	413018	| 21	5	| 2302	2336	| 633	664
30	427633	| 21	5	| 2328	2336	| 634	664
done	441888
