BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 4721	5452	| 1279	1548
2	15857	| 21	5	| 4798	5452	| 1372	1548
3	30546	| 21	5	| 4857	5452	| 1154	1548
4	45658	| 21	5	| 4799	5452	| 1455	1548
5	59644	| 21	5	| 5306	5452	| 1093	1548
6	74255	| 21	5	| 5353	5452	| 894	1548
7	88817	| 21	5	| 5000	5452	| 1319	1548
8	103347	| 21	5	| 4871	5452	| 1366	1548
9	118348	| 21	5	| 4951	5452	| 1221	1548
10	133123	| 21	5	| 5003	5452	| 1511	1548
11	147777	| 21	5	| 5368	5452	| 1496	1548
12	162378	| 21	5	| 5306	5452	| 1498	1548
13	177513	| 21	5	| 4834	5452	| 1193	1548
14	192569	| 21	5	| 4875	5452	| 1212	1548
15	207248	| 21	5	| 5185	5452	| 1280	1548
16	222057	| 21	5	| 5185	5452	| 1280	1548
17	236638	| 21	5	| 4994	5452	| 1290	1548
18	250890	| 21	5	| 5326	5452	| 1250	1548
19	265286	| 21	5	| 5302	5452	| 1310	1548
20	279628	| 21	5	| 5386	5452	| 1028	1548
21	294427	| 21	5	| 5333	5452	| 1110	1548
22	309132	| 21	5	| 5376	5452	| 1294	1548
23	323796	| 21	5	| 5379	5452	| 1164	1548
24	338395	| 21	5	| 5356	5452	| 1316	1548
25	353077	| 21	5	| 5370	5452	| 979	1548
26	367726	| 21	5	| 5397	5452	| 1352	1548
27	382627	| 21	5	| 5398	5452	| 1363	1548
28	397408	| 21	5	| 5391	5452	| 1257	1548
29	412118	| 21	5	| 5406	5452	| 1229	1548
30	426559	| 21	5	| 5386	5452	| 1291	1548
done	440540
