BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1204	| 21	5	| 3885	3894	| 1081	1106
2	15663	| 21	5	| 3874	3894	| 777	1106
3	30324	| 21	5	| 3800	3894	| 1066	1106
4	44934	| 21	5	| 3862	3894	| 1067	1106
5	59713	| 21	5	| 3872	3894	| 1053	1106
6	74415	| 21	5	| 3873	3894	| 1065	1106
7	88899	| 21	5	| 3872	3894	| 1076	1106
8	103455	| 21	5	| 3872	3894	| 1063	1106
9	118065	| 21	5	| 3881	3894	| 1079	1106
10	132673	| 21	5	| 3774	3894	| 1073	1106
11	147179	| 21	5	| 3886	3894	| 1081	1106
12	161753	| 21	5	| 3864	3894	| 1066	1106
13	176485	| 21	5	| 3843	3894	| 1078	1106
14	190929	| 21	5	| 3878	3894	| 1068	1106
15	205598	| 21	5	| 3881	3894	| 1066	1106
16	220514	| 21	5	| 3839	3894	| 1080	1106
17	235305	| 21	5	| 3865	3894	| 1082	1106
18	249956	| 21	5	| 3881	3894	| 982	1106
19	264437	| 21	5	| 3881	3894	| 1081	1106
20	279137	| 21	5	| 3868	3894	| 1058	1106
21	293893	| 21	5	| 3833	3894	| 1074	1106
22	308778	| 21	5	| 3842	3894	| 1071	1106
23	323270	| 21	5	| 3856	3894	| 1089	1106
24	337820	| 21	5	| 3871	3894	| 1062	1106
25	352550	| 21	5	| 3883	3894	| 1064	1106
26	367287	| 21	5	| 3879	3894	| 1079	1106
27	381890	| 21	5	| 3892	3894	| 1076	1106
28	396404	| 21	5	| 3877	3894	| 1074	1106
29	410931	| 21	5	| 3858	3894	| 1079	1106
30	425479	| 21	5	| 3858	3894	| 1058	1106
done	439677
