BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1215	| 21	5	| 2230	2336	| 647	664
2	16843	| 21	5	| 1991	2336	| 647	664
3	31671	| 21	5	| 2056	2336	| 639	664
4	46465	| 21	5	| 2184	2336	| 566	664
5	61866	| 21	5	| 2138	2336	| 645	664
6	77093	| 21	5	| 2231	2336	| 647	664
7	92030	| 21	5	| 2028	2336	| 654	664
8	106808	| 21	5	| 2101	2336	| 537	664
9	121624	| 21	5	| 2311	2336	| 646	664
10	136408	| 21	5	| 1911	2336	| 560	664
11	151177	| 21	5	| 1817	2336	| 530	664
12	166003	| 21	5	| 2128	2336	| 644	664
13	180915	| 21	5	| 2184	2336	| 445	664
14	194915	| 21	5	| 1956	2336	| 644	664
15	209677	| 21	5	| 1970	2336	| 618	664
16	224481	| 21	5	| 2039	2336	| 460	664
17	239279	| 21	5	| 2018	2336	| 649	664
18	254179	| 21	5	| 2082	2336	| 512	664
19	269039	| 21	5	| 2039	2336	| 511	664
20	283727	| 21	5	| 2267	2336	| 609	664
21	298401	| 21	5	| 2241	2336	| 609	664
22	313138	| 21	5	| 2241	2336	| 651	664
23	327890	| 21	5	| 2218	2336	| 634	664
24	342629	| 21	5	| 2019	2336	| 638	664
25	357411	| 21	5	| 2177	2336	| 573	664
26	372111	| 21	5	| 2300	2336	| 544	664
27	386854	| 21	5	| 2273	2336	| 585	664
28	401099	| 21	5	| 2295	2336	| 526	664
29	415902	| 21	5	| 2278	2336	| 508	664
30	430632	| 21	5	| 1937	2336	| 572	664
done	444797
