BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1210	| 21	5	| 778	778	| 199	222
2	16025	| 21	5	| 748	778	| 214	222
3	30817	| 21	5	| 761	778	| 216	222
4	45605	| 21	5	| 778	778	| 213	222
5	60430	| 21	5	| 753	778	| 216	222
6	75178	| 21	5	| 750	778	| 219	222
7	89971	| 21	5	| 757	778	| 217	222
8	104746	| 21	5	| 752	778	| 216	222
9	119698	| 21	5	| 749	778	| 214	222
10	134498	| 21	5	| 760	778	| 217	222
11	149245	| 21	5	| 768	778	| 214	222
12	164048	| 21	5	| 764	778	| 215	222
13	178842	| 21	5	| 753	778	| 202	222
14	193646	| 21	5	| 741	778	| 210	222
15	208409	| 21	5	| 743	778	| 215	222
16	223149	| 21	5	| 770	778	| 215	222
17	237069	| 21	5	| 773	778	| 217	222
18	251993	| 21	5	| 724	778	| 201	222
19	266731	| 21	5	| 759	778	| 211	222
20	281471	| 21	5	| 764	778	| 206	222
21	296268	| 21	5	| 736	778	| 219	222
22	311037	| 21	5	| 745	778	| 218	222
23	325829	| 21	5	| 776	778	| 208	222
24	339938	| 21	5	| 778	778	| 218	222
25	354011	| 21	5	| 738	778	| 215	222
26	368822	| 21	5	| 754	778	| 216	222
27	383632	| 21	5	| 717	778	| 214	222
28	398379	| 21	5	| 730	778	| 216	222
29	413130	| 21	5	| 772	778	| 216	222
30	427981	| 21	5	| 760	778	| 213	222
done	442172
