BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1207	| 21	5	| 3866	3894	| 1079	1106
2	15519	| 21	5	| 3886	3894	| 1083	1106
3	30087	| 21	5	| 3889	3894	| 1090	1106
4	44594	| 21	5	| 3853	3894	| 1076	1106
5	58909	| 21	5	| 3881	3894	| 1070	1106
6	73376	| 21	5	| 3883	3894	| 1085	1106
7	87777	| 21	5	| 3861	3894	| 1082	1106
8	102139	| 21	5	| 3883	3894	| 1081	1106
9	116561	| 21	5	| 3885	3894	| 1087	1106
10	130930	| 21	5	| 3889	3894	| 1062	1106
11	145412	| 21	5	| 3882	3894	| 1082	1106
12	159809	| 21	5	| 3885	3894	| 1066	1106
13	174229	| 21	5	| 3884	3894	| 1067	1106
14	188577	| 21	5	| 3881	3894	| 1067	1106
15	203131	| 21	5	| 3884	3894	| 1072	1106
16	217470	| 21	5	| 3877	3894	| 1082	1106
17	232009	| 21	5	| 3884	3894	| 1082	1106
18	246419	| 21	5	| 3877	3894	| 1083	1106
19	260826	| 21	5	| 3882	3894	| 1084	1106
20	275235	| 21	5	| 3860	3894	| 1078	1106
21	289495	| 21	5	| 3875	3894	| 1072	1106
22	304105	| 21	5	| 3875	3894	| 1081	1106
23	318516	| 21	5	| 3888	3894	| 1083	1106
24	332908	| 21	5	| 3882	3894	| 1080	1106
25	347291	| 21	5	| 3887	3894	| 1057	1106
26	361806	| 21	5	| 3889	3894	| 1078	1106
27	376350	| 21	5	| 3883	3894	| 1088	1106
28	390761	| 21	5	| 3884	3894	| 1075	1106
29	405176	| 21	5	| 3884	3894	| 1078	1106
30	419578	| 21	5	| 3885	3894	| 1081	1106
done	433418
