BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1205	| 21	5	| 2333	2336	| 648	664
2	15749	| 21	5	| 2333	2336	| 642	664
3	30316	| 21	5	| 2326	2336	| 631	664
4	44957	| 21	5	| 2328	2336	| 638	664
5	59512	| 21	5	| 2330	2336	| 638	664
6	74089	| 21	5	| 2328	2336	| 642	664
7	88705	| 21	5	| 2328	2336	| 624	664
8	103323	| 21	5	| 2334	2336	| 641	664
9	117891	| 21	5	| 2327	2336	| 633	664
10	132474	| 21	5	| 2331	2336	| 631	664
11	147011	| 21	5	| 2329	2336	| 630	664
12	161617	| 21	5	| 2332	2336	| 642	664
13	176283	| 21	5	| 2324	2336	| 633	664
14	190867	| 21	5	| 2316	2336	| 632	664
15	205599	| 21	5	| 2328	2336	| 638	664
16	220234	| 21	5	| 2308	2336	| 641	664
17	234813	| 21	5	| 2326	2336	| 643	664
18	249505	| 21	5	| 2332	2336	| 638	664
19	264070	| 21	5	| 2310	2336	| 640	664
20	278629	| 21	5	| 2330	2336	| 641	664
21	293286	| 21	5	| 2324	2336	| 645	664
22	308098	| 21	5	| 2332	2336	| 650	664
23	322701	| 21	5	| 2334	2336	| 649	664
24	337436	| 21	5	| 2333	2336	| 647	664
25	352097	| 21	5	| 2322	2336	| 633	664
26	366799	| 21	5	| 2323	2336	| 644	664
27	381978	| 21	5	| 2323	2336	| 643	664
28	396577	| 21	5	| 2325	2336	| 646	664
29	411184	| 21	5	| 2295	2336	| 633	664
30	425780	| 21	5	| 2320	2336	| 639	664
done	439828
