BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1210	| 21	5	| 5432	5452	| 1507	1548
2	15415	| 21	5	| 5396	5452	| 1507	1548
3	29640	| 21	5	| 5423	5452	| 1509	1548
4	43887	| 21	5	| 5434	5452	| 1505	1548
5	58046	| 21	5	| 5428	5452	| 1511	1548
6	72137	| 21	5	| 5440	5452	| 1509	1548
7	86354	| 21	5	| 5422	5452	| 1492	1548
8	100721	| 21	5	| 5445	5452	| 1496	1548
9	115066	| 21	5	| 5437	5452	| 1513	1548
10	129396	| 21	5	| 5419	5452	| 1486	1548
11	143721	| 21	5	| 5422	5452	| 1514	1548
12	157957	| 21	5	| 5437	5452	| 1478	1548
13	172534	| 21	5	| 5439	5452	| 1508	1548
14	186825	| 21	5	| 5431	5452	| 1511	1548
15	201224	| 21	5	| 5445	5452	| 1503	1548
16	215532	| 21	5	| 5438	5452	| 1495	1548
17	229931	| 21	5	| 5438	5452	| 1496	1548
18	244488	| 21	5	| 5362	5452	| 1492	1548
19	258680	| 21	5	| 5405	5452	| 1506	1548
20	272890	| 21	5	| 5389	5452	| 1492	1548
21	287078	| 21	5	| 5436	5452	| 1508	1548
22	301285	| 21	5	| 5389	5452	| 1496	1548
23	315703	| 21	5	| 5441	5452	| 1505	1548
24	330093	| 21	5	| 5439	5452	| 1501	1548
25	344415	| 21	5	| 5444	5452	| 1494	1548
26	358914	| 21	5	| 5391	5452	| 1506	1548
27	373225	| 21	5	| 5390	5452	| 1502	1548
28	387538	| 21	5	| 5437	5452	| 1513	1548
29	401857	| 21	5	| 5431	5452	| 1515	1548
30	416106	| 21	5	| 5405	5452	| 1509	1548
done	429759
