BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1210	| 21	5	| 5371	5452	| 1504	1548
2	15735	| 21	5	| 5415	5452	| 1499	1548
3	30216	| 21	5	| 5430	5452	| 1509	1548
4	44603	| 21	5	| 5419	5452	| 1523	1548
5	59173	| 21	5	| 5406	5452	| 1508	1548
6	73948	| 21	5	| 5392	5452	| 1504	1548
7	88545	| 21	5	| 5301	5452	| 1511	1548
8	103064	| 21	5	| 5395	5452	| 1514	1548
9	117481	| 21	5	| 5405	5452	| 1504	1548
10	132206	| 21	5	| 5421	5452	| 1511	1548
11	146786	| 21	5	| 5389	5452	| 1509	1548
12	160696	| 21	5	| 5368	5452	| 1507	1548
13	175367	| 21	5	| 5310	5452	| 1519	1548
14	189787	| 21	5	| 5347	5452	| 1513	1548
15	204032	| 21	5	| 5403	5452	| 1516	1548
16	218618	| 21	5	| 5414	5452	| 1525	1548
17	233017	| 21	5	| 5419	5452	| 1521	1548
18	247278	| 21	5	| 5396	5452	| 1522	1548
19	261648	| 21	5	| 5428	5452	| 1523	1548
20	276050	| 21	5	| 5416	5452	| 1531	1548
21	290243	| 21	5	| 5411	5452	| 1526	1548
22	304637	| 21	5	| 5424	5452	| 1530	1548
23	318911	| 21	5	| 5397	5452	| 1523	1548
24	333128	| 21	5	| 5390	5452	| 1524	1548
25	347479	| 21	5	| 5393	5452	| 1518	1548
26	361810	| 21	5	| 5342	5452	| 1525	1548
27	376094	| 21	5	| 5384	5452	| 1516	1548
28	390488	| 21	5	| 5427	5452	| 1521	1548
29	404869	| 21	5	| 5359	5452	| 1519	1548
30	419282	| 21	5	| 5379	5452	| 1514	1548
done	432919
