BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1196	| 21	5	| 5438	5452	| 1503	1548
2	15336	| 21	5	| 5435	5452	| 1505	1548
3	29698	| 21	5	| 5419	5452	| 1483	1548
4	43848	| 21	5	| 5421	5452	| 1514	1548
5	58030	| 21	5	| 5436	5452	| 1497	1548
6	72256	| 21	5	| 5434	5452	| 1510	1548
7	86364	| 21	5	| 5422	5452	| 1496	1548
8	100514	| 21	5	| 5429	5452	| 1490	1548
9	115007	| 21	5	| 5416	5452	| 1508	1548
10	129324	| 21	5	| 5424	5452	| 1525	1548
11	143390	| 21	5	| 5411	5452	| 1500	1548
12	157866	| 21	5	| 5430	5452	| 1513	1548
13	171990	| 21	5	| 5414	5452	| 1502	1548
14	186154	| 21	5	| 5425	5452	| 1498	1548
15	200482	| 21	5	| 5434	5452	| 1513	1548
16	214780	| 21	5	| 5422	5452	| 1517	1548
17	229072	| 21	5	| 5427	5452	| 1513	1548
18	243236	| 21	5	| 5431	5452	| 1507	1548
19	257363	| 21	5	| 5432	5452	| 1509	1548
20	271460	| 21	5	| 5429	5452	| 1128	1548
21	285671	| 21	5	| 5426	5452	| 1498	1548
22	299955	| 21	5	| 5429	5452	| 1514	1548
23	313998	| 21	5	| 5427	5452	| 1517	1548
24	328108	| 21	5	| 5416	5452	| 1498	1548
25	342350	| 21	5	| 5439	5452	| 1519	1548
26	356540	| 21	5	| 5431	5452	| 1512	1548
27	370772	| 21	5	| 5445	5452	| 1520	1548
28	384970	| 21	5	| 5432	5452	| 1494	1548
29	399249	| 21	5	| 5436	5452	| 1505	1548
30	413640	| 21	5	| 5390	5452	| 1502	1548
done	427444
