BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1208,21,off,1000,1000,0,0
2,15317,19,off,1000,1000,0,0
3,29508,17,off,1000,1000,0,0
4,43796,15,off,959,1000,0,0
5,57819,15,off,1000,1000,0,0
6,71958,13,off,970,1000,0,0
7,86032,11,off,995,1000,0,0
8,100181,9,off,971,1000,0,0
9,114236,7,off,884,1000,0,0
10,128378,9,off,1000,1000,0,0
11,142707,7,off,914,1000,0,0
12,157430,7,off,901,1000,0,0
13,171578,7,off,863,1000,0,0
14,185779,9,off,966,1000,0,0
15,199872,7,off,865,1000,0,0
16,213929,9,off,998,1000,0,0
17,228020,7,off,862,1000,0,0
18,242179,9,off,1000,1000,0,0
19,256369,7,off,853,1000,0,0
20,270494,9,off,1000,1000,0,0
21,284749,7,off,898,1000,0,0
22,298908,9,off,998,1000,0,0
23,313109,7,off,844,1000,0,0
24,327251,9,off,944,1000,0,0
25,341370,9,off,979,1000,0,0
26,355443,7,off,902,1000,0,0
27,369756,7,off,860,1000,0,0
28,383876,9,off,930,1000,0,0
29,397999,9,off,941,1000,0,0
30,412128,9,off,981,1000,0,0
done,425715
