BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,21,off,950,1000,0,0
2,16072,21,off,900,1000,0,0
3,30330,21,off,928,1000,0,0
4,44638,21,off,991,1000,0,0
5,59018,19,off,992,1000,0,0
6,73519,17,off,1000,1000,0,0
7,88101,15,off,993,1000,0,0
8,102442,13,off,994,1000,0,0
9,117042,11,off,989,1000,0,0
10,131348,9,off,905,1000,0,0
11,146272,9,off,947,1000,0,0
12,160551,9,off,948,1000,0,0
13,174643,9,off,969,1000,0,0
14,188940,7,off,739,1000,0,0
15,203052,9,off,928,1000,0,0
16,217302,9,off,878,1000,0,0
17,231727,11,off,944,1000,0,0
18,246015,11,off,941,1000,0,0
19,260329,11,off,978,1000,0,0
20,274731,9,off,930,1000,0,0
21,289210,9,off,969,1000,0,0
22,303551,7,off,809,1000,0,0
23,317951,9,off,998,1000,0,0
24,332213,7,off,562,1000,0,0
25,346412,9,off,930,1000,0,0
26,360900,9,off,877,1000,0,0
27,375434,11,off,953,1000,0,0
28,389709,11,off,939,1000,0,0
29,403836,11,off,986,1000,0,0
30,418333,9,off,834,1000,0,0
done,432090
