BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	off	| 6975	7000	| 0	0
2	15944	| 19	off	| 6941	7000	| 0	0
3	30823	| 17	off	| 6973	7000	| 0	0
4	45074	| 15	off	| 6983	7000	| 0	0
5	59073	| 13	off	| 6949	7000	| 0	0
6	75489	| 11	off	| 6898	7000	| 0	0
7	90277	| 9	off	| 6877	7000	| 0	0
8	105060	| 7	off	| 6478	7000	| 0	0
9	120144	| 7	off	| 6397	7000	| 0	0
10	134762	| 7	off	| 6335	7000	| 0	0
11	149353	| 7	off	| 6519	7000	| 0	0
12	164429	| 7	off	| 6626	7000	| 0	0
13	178836	| 7	off	| 6556	7000	| 0	0
14	192977	| 7	off	| 6681	7000	| 0	0
15	207749	| 7	off	| 6539	7000	| 0	0
16	221967	| 7	off	| 6680	7000	| 0	0
17	236417	| 7	off	| 6700	7000	| 0	0
18	250952	| 7	off	| 6673	7000	| 0	0
19	266012	| 7	off	| 6529	7000	| 0	0
20	280189	| 7	off	| 6625	7000	| 0	0
21	294957	| 7	off	| 6323	7000	| 0	0
22	309753	| 7	off	| 6511	7000	| 0	0
23	323740	| 7	off	| 6521	7000	| 0	0
24	338549	| 7	off	| 6587	7000	| 0	0
25	352941	| 7	off	| 6470	7000	| 0	0
26	367374	| 7	off	| 6433	7000	| 0	0
27	381453	| 7	off	| 6523	7000	| 0	0
28	395877	| 7	off	| 6571	7000	| 0	0
29	410780	| 7	off	| 6613	7000	| 0	0
30	425367	| 7	off	| 6522	7000	| 0	0
done	439990
