BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,280,21,off,6825,7000,0,0
2,14638,19,off,6825,7000,0,0
3,29167,17,off,6813,7000,0,0
4,43246,15,off,6810,7000,0,0
5,57661,13,off,6754,7000,0,0
6,72052,11,off,6668,7000,0,0
7,86384,11,off,6682,7000,0,0
8,100941,11,off,6631,7000,0,0
9,115434,11,off,6656,7000,0,0
10,129492,11,off,6673,7000,0,0
11,144085,11,off,6614,7000,0,0
12,158296,11,off,6673,7000,0,0
13,172495,11,off,6685,7000,0,0
14,187004,11,off,6715,7000,0,0
15,201791,11,off,6665,7000,0,0
16,216438,11,off,6686,7000,0,0
17,230930,11,off,6688,7000,0,0
18,245376,11,off,6627,7000,0,0
19,259952,11,off,6644,7000,0,0
20,274396,11,off,6686,7000,0,0
21,288426,11,off,6660,7000,0,0
22,302974,11,off,6657,7000,0,0
23,317380,11,off,6699,7000,0,0
24,331737,11,off,6728,7000,0,0
25,346256,9,off,6632,7000,0,0
26,360976,9,off,6556,7000,0,0
27,375575,9,off,6624,7000,0,0
28,390364,9,off,6612,7000,0,0
29,404764,9,off,6518,7000,0,0
30,418913,9,off,6601,7000,0,0
done,432762
