BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,21,off,4993,5000,0,0
2,15117,19,off,4970,5000,0,0
3,29031,17,off,4998,5000,0,0
4,43936,15,off,4994,5000,0,0
5,58725,13,off,4958,5000,0,0
6,72697,11,off,4972,5000,0,0
7,87443,9,off,4985,5000,0,0
8,101618,7,off,4739,5000,0,0
9,115810,7,off,4568,5000,0,0
10,129877,7,off,4269,5000,0,0
11,144039,9,off,4988,5000,0,0
12,158037,7,off,4711,5000,0,0
13,171992,7,off,4297,5000,0,0
14,186058,9,off,4966,5000,0,0
15,200029,7,off,4512,5000,0,0
16,213988,7,off,4287,5000,0,0
17,228102,9,off,4976,5000,0,0
18,242113,7,off,4557,5000,0,0
19,256112,7,off,4204,5000,0,0
20,270119,9,off,4941,5000,0,0
21,284360,7,off,4531,5000,0,0
22,298656,7,off,4472,5000,0,0
23,312838,9,off,4982,5000,0,0
24,327732,7,off,4165,5000,0,0
25,342481,9,off,4923,5000,0,0
26,357257,7,off,3983,5000,0,0
27,371231,9,off,4973,5000,0,0
28,386031,7,off,4437,5000,0,0
29,400031,9,off,4936,5000,0,0
30,414832,7,off,3439,5000,0,0
done,429168
