BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,280,21,off,4935,5000,0,0
2,14698,19,off,4966,5000,0,0
3,29171,17,off,4996,5000,0,0
4,44108,15,off,4998,5000,0,0
5,58700,13,off,4959,5000,0,0
6,72971,11,off,4854,5000,0,0
7,87359,9,off,4785,5000,0,0
8,101512,9,off,4773,5000,0,0
9,115880,9,off,4803,5000,0,0
10,130056,7,off,4431,5000,0,0
11,144646,9,off,4840,5000,0,0
12,159412,7,off,4361,5000,0,0
13,174001,9,off,3592,5000,0,0
14,188903,11,off,4035,5000,0,0
15,203316,13,off,4349,5000,0,0
16,217878,15,off,4614,5000,0,0
17,232507,15,off,4670,5000,0,0
18,247299,15,off,4958,5000,0,0
19,261836,13,off,4916,5000,0,0
20,276646,11,off,4864,5000,0,0
21,291313,9,off,4881,5000,0,0
22,305368,7,off,4271,5000,0,0
23,320372,9,off,4109,5000,0,0
24,335042,11,off,4406,5000,0,0
25,349493,13,off,4856,5000,0,0
26,363457,11,off,4791,5000,0,0
27,378297,11,off,4926,5000,0,0
28,392977,9,off,4811,5000,0,0
29,407848,7,off,4583,5000,0,0
30,422651,7,off,4613,5000,0,0
done,436868
