BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1196,21,off,6988,7000,0,0
2,17108,19,off,6953,7000,0,0
3,32528,17,off,6994,7000,0,0
4,48223,15,off,6981,7000,0,0
5,64030,13,off,6948,7000,0,0
6,79741,11,off,6983,7000,0,0
7,95119,9,off,6726,7000,0,0
8,110790,7,off,6183,7000,0,0
9,125602,9,off,6813,7000,0,0
10,140931,7,off,6183,7000,0,0
11,156412,9,off,6918,7000,0,0
12,172009,7,off,6254,7000,0,0
13,187333,9,off,6802,7000,0,0
14,202660,7,off,5840,7000,0,0
15,218583,9,off,6778,7000,0,0
16,233941,7,off,5934,7000,0,0
17,249129,9,off,6718,7000,0,0
18,264710,9,off,6849,7000,0,0
19,279736,7,off,5532,7000,0,0
20,295116,9,off,6292,7000,0,0
21,309473,11,off,6879,7000,0,0
22,324765,9,off,6737,7000,0,0
23,339921,7,off,5948,7000,0,0
24,355355,9,off,6770,7000,0,0
25,370640,7,off,5667,7000,0,0
26,386156,9,off,6672,7000,0,0
27,401247,9,off,6577,7000,0,0
28,416730,9,off,6686,7000,0,0
29,431854,9,off,6712,7000,0,0
30,447029,9,off,6666,7000,0,0
done,461551
