BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1202,21,off,7494,7500,0,0
2,17942,19,off,7495,7500,0,0
3,33647,17,off,7486,7500,0,0
4,49442,15,off,7467,7500,0,0
5,65602,13,off,7432,7500,0,0
6,81488,11,off,7494,7500,0,0
7,97467,9,off,7474,7500,0,0
8,113397,7,off,6522,7500,0,0
9,129596,9,off,7423,7500,0,0
10,145587,7,off,6369,7500,0,0
11,161177,9,off,7419,7500,0,0
12,177637,7,off,6815,7500,0,0
13,193436,7,off,6940,7500,0,0
14,209436,7,off,7020,7500,0,0
15,224835,7,off,6954,7500,0,0
16,241014,7,off,6744,7500,0,0
17,255986,9,off,7493,7500,0,0
18,271735,7,off,7219,7500,0,0
19,287334,5,off,6943,7500,0,0
20,302935,5,off,6986,7500,0,0
21,317081,5,off,7061,7500,0,0
22,333806,5,off,6774,7500,0,0
23,349422,5,off,6879,7500,0,0
24,365446,5,off,6878,7500,0,0
25,381246,5,off,6985,7500,0,0
26,396797,5,off,6853,7500,0,0
27,412678,5,off,6827,7500,0,0
28,428814,5,off,6956,7500,0,0
29,444926,5,off,6921,7500,0,0
30,460622,5,off,7072,7500,0,0
done,476116
