BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1211,21,off,2940,3000,0,0
2,15486,19,off,2984,3000,0,0
3,30005,17,off,2959,3000,0,0
4,44413,15,off,2933,3000,0,0
5,58448,13,off,2982,3000,0,0
6,72811,11,off,2933,3000,0,0
7,87534,9,off,2923,3000,0,0
8,102033,7,off,2519,3000,0,0
9,116518,9,off,2969,3000,0,0
10,130885,7,off,2540,3000,0,0
11,145089,9,off,2973,3000,0,0
12,159561,7,off,2554,3000,0,0
13,173556,9,off,2962,3000,0,0
14,187796,7,off,2796,3000,0,0
15,201975,7,off,2430,3000,0,0
16,216376,9,off,2936,3000,0,0
17,231275,7,off,2565,3000,0,0
18,246185,9,off,2901,3000,0,0
19,260768,7,off,2557,3000,0,0
20,275367,9,off,2920,3000,0,0
21,289527,7,off,2383,3000,0,0
22,303559,9,off,2951,3000,0,0
23,317863,7,off,2786,3000,0,0
24,331986,7,off,2474,3000,0,0
25,346266,9,off,2916,3000,0,0
26,360477,7,off,2439,3000,0,0
27,374678,9,off,2951,3000,0,0
28,388639,7,off,2707,3000,0,0
29,402850,7,off,2490,3000,0,0
30,417702,9,off,2955,3000,0,0
done,431070
