BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1195	| 21	off	| 2998	3000	| 0	0
2	15944	| 19	off	| 2999	3000	| 0	0
3	30716	| 17	off	| 3000	3000	| 0	0
4	45645	| 15	off	| 2999	3000	| 0	0
5	60469	| 13	off	| 2986	3000	| 0	0
6	75148	| 11	off	| 2960	3000	| 0	0
7	90037	| 9	off	| 2955	3000	| 0	0
8	104779	| 7	off	| 2928	3000	| 0	0
9	119461	| 5	off	| 2944	3000	| 0	0
10	134257	| 3	off	| 2964	3000	| 0	0
11	148187	| 1	off	| 2939	3000	| 0	0
12	162206	| 1	off	| 2958	3000	| 0	0
13	177007	| 1	off	| 2950	3000	| 0	0
14	190980	| 1	off	| 2948	3000	| 0	0
15	204918	| 1	off	| 2897	3000	| 0	0
16	218876	| 1	off	| 2891	3000	| 0	0
17	233799	| 1	off	| 2905	3000	| 0	0
18	248699	| 1	off	| 2927	3000	| 0	0
19	262689	| 1	off	| 2980	3000	| 0	0
20	276894	| 1	off	| 2962	3000	| 0	0
21	290847	| 1	off	| 2930	3000	| 0	0
22	304919	| 1	off	| 2875	3000	| 0	0
23	319178	| 1	off	| 2941	3000	| 0	0
24	333237	| 1	off	| 2940	3000	| 0	0
25	347215	| 1	off	| 2926	3000	| 0	0
26	361237	| 1	off	| 2940	3000	| 0	0
27	375225	| 1	off	| 2929	3000	| 0	0
28	389434	| 1	off	| 2968	3000	| 0	0
29	403421	| 1	off	| 2918	3000	| 0	0
30	417421	| 1	off	| 2942	3000	| 0	0
done	431671
