BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1205,21,off,7452,7500,0,0
2,16444,19,off,7471,7500,0,0
3,32444,17,off,7494,7500,0,0
4,47210,15,off,7493,7500,0,0
5,63538,13,off,7496,7500,0,0
6,79304,11,off,7484,7500,0,0
7,95090,9,off,7458,7500,0,0
8,110456,7,off,6965,7500,0,0
9,126107,7,off,6968,7500,0,0
10,142144,7,off,7005,7500,0,0
11,158158,7,off,6958,7500,0,0
12,172850,7,off,7069,7500,0,0
13,188771,7,off,7008,7500,0,0
14,204770,7,off,6902,7500,0,0
15,219152,7,off,6818,7500,0,0
16,235006,7,off,6935,7500,0,0
17,250703,7,off,6820,7500,0,0
18,266387,7,off,6890,7500,0,0
19,282369,7,off,6719,7500,0,0
20,297108,9,off,7380,7500,0,0
21,312910,7,off,6890,7500,0,0
22,327506,7,off,6892,7500,0,0
23,343342,7,off,6942,7500,0,0
24,359060,7,off,6937,7500,0,0
25,375067,7,off,6864,7500,0,0
26,390864,7,off,6844,7500,0,0
27,406839,7,off,6962,7500,0,0
28,422649,7,off,6891,7500,0,0
29,438466,7,off,6909,7500,0,0
30,454299,7,off,6855,7500,0,0
done,469500
