BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,270,21,off,2682,3000,0,0
2,14659,21,off,2657,3000,0,0
3,29550,21,off,2726,3000,0,0
4,44299,21,off,2692,3000,0,0
5,59257,21,off,2998,3000,0,0
6,74260,19,off,2998,3000,0,0
7,89056,17,off,2267,3000,0,0
8,103467,19,off,2227,3000,0,0
9,118369,21,off,2338,3000,0,0
10,133178,21,off,2983,3000,0,0
11,147158,19,off,2988,3000,0,0
12,162047,17,off,2980,3000,0,0
13,176936,15,off,2982,3000,0,0
14,190897,13,off,2953,3000,0,0
15,205678,11,off,2984,3000,0,0
16,220521,9,off,2923,3000,0,0
17,234531,7,off,2588,3000,0,0
18,249469,9,off,2790,3000,0,0
19,264282,9,off,2618,3000,0,0
20,279068,11,off,2235,3000,0,0
21,293603,13,off,2530,3000,0,0
22,308432,15,off,2657,3000,0,0
23,323190,17,off,2647,3000,0,0
24,338135,19,off,2685,3000,0,0
25,352932,21,off,2724,3000,0,0
26,367882,21,off,2652,3000,0,0
27,382573,21,off,2695,3000,0,0
28,397466,21,off,2753,3000,0,0
29,412265,21,off,2670,3000,0,0
30,427097,21,off,2922,3000,0,0
done,441232
