BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1235	| 21	off	| 7496	7500	| 0	0
2	17083	| 19	off	| 7433	7500	| 0	0
3	32416	| 17	off	| 7454	7500	| 0	0
4	47813	| 15	off	| 7457	7500	| 0	0
5	63594	| 13	off	| 7468	7500	| 0	0
6	79148	| 11	off	| 7442	7500	| 0	0
7	94672	| 9	off	| 7476	7500	| 0	0
8	110287	| 7	off	| 7198	7500	| 0	0
9	125683	| 7	off	| 7244	7500	| 0	0
10	141129	| 5	off	| 7187	7500	| 0	0
11	156624	| 5	off	| 6987	7500	| 0	0
12	171847	| 5	off	| 7081	7500	| 0	0
13	187466	| 5	off	| 7226	7500	| 0	0
14	203031	| 3	off	| 7070	7500	| 0	0
15	219417	| 3	off	| 7287	7500	| 0	0
16	234635	| 1	off	| 7213	7500	| 0	0
17	249404	| 1	off	| 7225	7500	| 0	0
18	264385	| 1	off	| 7117	7500	| 0	0
19	279915	| 1	off	| 7130	7500	| 0	0
20	295596	| 1	off	| 7149	7500	| 0	0
21	310707	| 1	off	| 7270	7500	| 0	0
22	326017	| 1	off	| 7175	7500	| 0	0
23	341554	| 1	off	| 7240	7500	| 0	0
24	357072	| 1	off	| 7139	7500	| 0	0
25	372277	| 1	off	| 7104	7500	| 0	0
26	387938	| 1	off	| 7214	7500	| 0	0
27	403090	| 1	off	| 7143	7500	| 0	0
28	418589	| 1	off	| 7113	7500	| 0	0
29	434001	| 1	off	| 7173	7500	| 0	0
30	448992	| 1	off	| 7207	7500	| 0	0
done	463397
