BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1196	| 21	off	| 7481	7500	| 0	0
2	16609	| 19	off	| 7498	7500	| 0	0
3	31360	| 17	off	| 7427	7500	| 0	0
4	45811	| 15	off	| 7477	7500	| 0	0
5	60229	| 13	off	| 7428	7500	| 0	0
6	74823	| 11	off	| 7490	7500	| 0	0
7	89216	| 9	off	| 7452	7500	| 0	0
8	103987	| 7	off	| 7326	7500	| 0	0
9	118723	| 5	off	| 7340	7500	| 0	0
10	133710	| 3	off	| 7166	7500	| 0	0
11	149209	| 3	off	| 7116	7500	| 0	0
12	164761	| 3	off	| 7249	7500	| 0	0
13	180148	| 1	off	| 7210	7500	| 0	0
14	195063	| 1	off	| 7307	7500	| 0	0
15	209532	| 1	off	| 7259	7500	| 0	0
16	224489	| 1	off	| 6992	7500	| 0	0
17	239681	| 1	off	| 7041	7500	| 0	0
18	254965	| 1	off	| 7184	7500	| 0	0
19	270060	| 1	off	| 6379	7500	| 0	0
20	285411	| 3	off	| 6475	7500	| 0	0
21	300795	| 5	off	| 6954	7500	| 0	0
22	316142	| 5	off	| 7046	7500	| 0	0
23	331557	| 5	off	| 7201	7500	| 0	0
24	346759	| 3	off	| 7230	7500	| 0	0
25	362702	| 1	off	| 7243	7500	| 0	0
26	378178	| 1	off	| 7220	7500	| 0	0
27	393772	| 1	off	| 7174	7500	| 0	0
28	409580	| 1	off	| 7077	7500	| 0	0
29	425123	| 1	off	| 7259	7500	| 0	0
30	440852	| 1	off	| 7315	7500	| 0	0
done	456120
