BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1193	| 21	off	| 4974	5000	| 0	0
2	15706	| 19	off	| 4926	5000	| 0	0
3	30506	| 17	off	| 4938	5000	| 0	0
4	45122	| 15	off	| 4968	5000	| 0	0
5	59622	| 13	off	| 4943	5000	| 0	0
6	74216	| 11	off	| 4861	5000	| 0	0
7	88788	| 9	off	| 4967	5000	| 0	0
8	103615	| 7	off	| 4662	5000	| 0	0
9	118211	| 7	off	| 4604	5000	| 0	0
10	132863	| 7	off	| 4633	5000	| 0	0
11	147222	| 7	off	| 4731	5000	| 0	0
12	162021	| 7	off	| 4775	5000	| 0	0
13	176019	| 7	off	| 4810	5000	| 0	0
14	190815	| 5	off	| 4732	5000	| 0	0
15	205212	| 5	off	| 4666	5000	| 0	0
16	219227	| 5	off	| 4655	5000	| 0	0
17	233801	| 5	off	| 4681	5000	| 0	0
18	248204	| 5	off	| 4799	5000	| 0	0
19	262781	| 5	off	| 4714	5000	| 0	0
20	277477	| 5	off	| 4618	5000	| 0	0
21	292194	| 5	off	| 4792	5000	| 0	0
22	306460	| 5	off	| 4779	5000	| 0	0
23	321043	| 5	off	| 4760	5000	| 0	0
24	335838	| 5	off	| 4705	5000	| 0	0
25	350378	| 5	off	| 4787	5000	| 0	0
26	365245	| 5	off	| 4771	5000	| 0	0
27	380076	| 5	off	| 4710	5000	| 0	0
28	394755	| 5	off	| 4753	5000	| 0	0
29	408738	| 5	off	| 4774	5000	| 0	0
30	423578	| 5	off	| 4797	5000	| 0	0
done	436962
