BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1212,21,off,8347,8350,0,0
2,17843,19,off,8312,8350,0,0
3,34182,17,off,8335,8350,0,0
4,49992,15,off,8342,8350,0,0
5,66051,13,off,8331,8350,0,0
6,81812,11,off,8326,8350,0,0
7,97744,9,off,8266,8350,0,0
8,113842,7,off,5719,8350,0,0
9,129633,9,off,8291,8350,0,0
10,145416,7,off,7736,8350,0,0
11,161562,7,off,7607,8350,0,0
12,177573,7,off,7610,8350,0,0
13,193774,7,off,7446,8350,0,0
14,210105,9,off,8322,8350,0,0
15,226716,7,off,7524,8350,0,0
16,242934,7,off,7743,8350,0,0
17,259149,7,off,7845,8350,0,0
18,275505,7,off,7825,8350,0,0
19,292043,7,off,7681,8350,0,0
20,308198,7,off,7620,8350,0,0
21,324699,7,off,7845,8350,0,0
22,341187,7,off,7693,8350,0,0
23,358161,7,off,7747,8350,0,0
24,374646,7,off,7619,8350,0,0
25,391144,7,off,7480,8350,0,0
26,407993,9,off,8337,8350,0,0
27,424621,7,off,7783,8350,0,0
28,440936,7,off,7675,8350,0,0
29,457558,7,off,7679,8350,0,0
30,473949,7,off,7694,8350,0,0
done,490016
