BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,21,off,6990,7000,0,0
2,15698,19,off,6993,7000,0,0
3,30426,17,off,6991,7000,0,0
4,44998,15,off,6990,7000,0,0
5,59877,13,off,6982,7000,0,0
6,74215,11,off,6945,7000,0,0
7,88667,9,off,6917,7000,0,0
8,103025,7,off,6470,7000,0,0
9,117270,7,off,6696,7000,0,0
10,132449,7,off,6719,7000,0,0
11,146959,7,off,6676,7000,0,0
12,161134,7,off,6583,7000,0,0
13,175938,7,off,6750,7000,0,0
14,190941,5,off,6700,7000,0,0
15,205443,5,off,6672,7000,0,0
16,220150,5,off,6759,7000,0,0
17,234737,3,off,6718,7000,0,0
18,249522,3,off,6728,7000,0,0
19,264569,1,off,6638,7000,0,0
20,279949,1,off,6567,7000,0,0
21,295710,1,off,6265,7000,0,0
22,311294,3,off,6476,7000,0,0
23,326695,3,off,6531,7000,0,0
24,341658,3,off,6572,7000,0,0
25,356818,3,off,6571,7000,0,0
26,371718,3,off,6565,7000,0,0
27,387013,3,off,6547,7000,0,0
28,401815,3,off,6619,7000,0,0
29,415791,3,off,6673,7000,0,0
30,430574,3,off,6695,7000,0,0
done,444719
