prr,pwr
0.961,194
0.967666666666667,178
0.945666666666667,182
0.957,177
0.982333333333333,190
0.95666666666667,188
0.946,185
0.927333333333333,192
0.95,189
0.95333333333333,222
0.94333333333333,215
0.973,199
0.9333333333333,203
0.91333333333333,205
0.9666666666667,204
0.9333333333333,225
0.9666666666667,218
0.9,210
0.94333333333333,222
0.924333333333333,220
0.950666666666667,220
0.911,213
0.902333333333333,215
0.926333333333333,220
0.97666666666667,221
0.95,206
0.96,221
0.946666666666667,220
0.93,213
0.91666666666667,217
