BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1216	| 21	5	| 5111	5401	| 1538	1599
2	17483	| 21	1	| 5395	5401	| 1560	1599
3	33733	| 9	5	| 5341	5401	| 1570	1599
4	49949	| 10	1	| 5374	5401	| 1511	1599
5	66293	| 11	1	| 5042	5401	| 1499	1599
done	80643
