BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1214	| 21	5	| 5134	5442	| 1290	1558
2	17664	| 21	-6	| 5431	5442	| 1167	1558
3	40473	| 9	-3	| 5196	5442	| 1433	1558
4	62764	| 10	-6	| 5125	5442	| 1298	1558
5	85400	| 9	-3	| 5161	5442	| 1448	1558
done	99504
