BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1160	| 21	5	| 5434	5442	| 1463	1558
2	18742	| 21	1	| 5436	5442	| 1381	1558
3	34950	| 9	5	| 5185	5442	| 1407	1558
4	51287	| 10	1	| 5310	5442	| 1266	1558
5	66700	| 11	1	| 5388	5442	| 1269	1558
done	80738
