BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1223	| 21	5	| 5420	5442	| 1450	1558
2	17207	| 21	5	| 5432	5442	| 1448	1558
3	32981	| 21	5	| 5423	5442	| 1461	1558
4	48768	| 21	5	| 5406	5442	| 1467	1558
5	64605	| 21	5	| 5424	5442	| 1467	1558
done	78903
