BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1237	| 21	off	| 6963	7000	| 0	0
2	16772	| 19	off	| 6994	7000	| 0	0
3	32272	| 17	off	| 6994	7000	| 0	0
4	48563	| 15	off	| 6791	7000	| 0	0
5	64299	| 13	off	| 6979	7000	| 0	0
done	78611
