BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1174	| 21	5	| 5393	5401	| 1567	1599
2	18983	| 21	-6	| 5397	5401	| 1505	1599
3	40375	| 9	-3	| 4796	5401	| 1536	1599
4	61269	| 10	-6	| 4796	5401	| 1536	1599
5	82963	| 9	-3	| 5135	5401	| 1488	1599
done	96248
