BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1218	| 21	off	| 6998	7000	| 0	0
2	17480	| 19	off	| 6999	7000	| 0	0
3	32972	| 17	off	| 6902	7000	| 0	0
4	48672	| 15	off	| 6974	7000	| 0	0
5	64382	| 13	off	| 6968	7000	| 0	0
done	78298
