BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1241	| 21	5	| 5397	5401	| 1571	1599
2	17372	| 21	5	| 5114	5401	| 1540	1599
3	32772	| 21	5	| 5391	5401	| 1558	1599
4	49060	| 21	5	| 5401	5401	| 1574	1599
5	65253	| 21	5	| 5400	5401	| 1576	1599
done	79598
