BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,21,5,6943,6964,1998,2036
2,15340,19,4,6944,6964,1987,2036
3,29418,17,3,6945,6964,1989,2036
4,43421,15,2,6944,6964,1978,2036
5,57417,13,1,6932,6964,1986,2036
6,71424,11,0,6906,6964,1996,2036
7,86498,9,-3,6946,6964,1991,2036
8,101393,7,-6,6236,6964,1747,2036
9,115401,9,-3,6949,6964,1987,2036
10,129625,7,-6,6377,6964,1834,2036
11,143784,7,-6,6260,6964,1828,2036
12,157798,9,-3,6937,6964,1980,2036
13,171889,7,-6,6170,6964,1768,2036
14,185911,9,-3,6937,6964,1999,2036
15,199911,7,-6,6314,6964,1852,2036
16,214445,7,-6,6202,6964,1876,2036
17,228651,9,-6,6925,6964,1805,2036
18,242979,7,-3,5879,6964,1984,2036
19,257192,9,-6,6904,6964,1766,2036
20,271517,7,-3,5867,6964,1994,2036
21,285734,9,-6,6928,6964,1840,2036
22,299912,7,-6,6104,6964,1862,2036
23,314020,9,-6,6946,6964,1867,2036
24,328266,7,-6,6225,6964,1883,2036
25,342389,9,-6,6938,6964,1909,2036
26,356608,7,-6,5815,6964,1922,2036
27,370810,9,-6,6946,6964,1833,2036
28,384949,7,-6,6319,6964,1860,2036
29,399092,7,-6,6211,6964,1748,2036
30,413212,9,-3,6930,6964,1997,2036
done,426751
