BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1230	| 21	5	| 3869	3895	| 1084	1105
2	15608	| 21	-6	| 3851	3895	| 915	1105
3	30225	| 9	-3	| 3850	3895	| 94	1105
4	44760	| 10	off	| 4950	5000	| 0	0
5	59031	| 11	off	| 4954	5000	| 0	0
6	73853	| 12	off	| 4961	5000	| 0	0
7	88682	| 13	off	| 4938	5000	| 0	0
8	102844	| 14	off	| 4991	5000	| 0	0
9	117627	| 15	off	| 4990	5000	| 0	0
10	132610	| 9	-6	| 3855	3895	| 930	1105
11	147089	| 10	-6	| 3817	3895	| 306	1105
12	161828	| 9	2	| 3839	3895	| 1038	1105
13	176639	| 10	-6	| 3782	3895	| 521	1105
14	191168	| 9	5	| 3806	3895	| 1079	1105
15	205816	| 10	-6	| 3803	3895	| 610	1105
16	220434	| 9	-3	| 3844	3895	| 864	1105
17	235149	| 10	-6	| 3813	3895	| 263	1105
18	249790	| 9	1	| 3842	3895	| 879	1105
19	264217	| 10	-6	| 3798	3895	| 484	1105
20	278834	| 9	4	| 3838	3895	| 1086	1105
21	293262	| 10	-6	| 3857	3895	| 803	1105
22	307700	| 9	-3	| 3856	3895	| 1001	1105
23	322417	| 10	-6	| 3808	3895	| 215	1105
24	336848	| 9	0	| 3878	3895	| 408	1105
25	351338	| 9	3	| 3878	3895	| 370	1105
26	365841	| 10	3	| 3828	3895	| 768	1105
27	380409	| 11	-6	| 3863	3895	| 1	1105
28	394990	| 12	off	| 4968	5000	| 0	0
29	409803	| 13	off	| 4972	5000	| 0	0
30	424382	| 14	off	| 4898	5000	| 0	0
done	438169
