BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1199,21,5,6939,6964,1954,2036
2,15379,19,5,6908,6964,1978,2036
3,29460,17,4,6922,6964,2004,2036
4,44445,15,3,6943,6964,1997,2036
5,58467,13,2,6936,6964,1983,2036
6,72478,11,1,6894,6964,1994,2036
7,86408,9,0,6906,6964,2000,2036
8,100508,7,-3,6481,6964,1987,2036
9,114539,7,-6,6524,6964,1837,2036
10,128709,7,-6,6361,6964,1840,2036
11,142712,7,-6,6366,6964,1791,2036
12,156825,7,-3,6481,6964,1977,2036
13,170809,7,-6,6320,6964,1822,2036
14,184786,7,-3,6264,6964,1953,2036
15,198994,9,-3,6925,6964,1966,2036
16,213109,7,-6,6412,6964,1851,2036
17,228035,7,-6,6311,6964,1804,2036
18,242250,7,-3,6379,6964,1973,2036
19,256246,7,-6,6332,6964,1934,2036
20,270248,7,-6,6417,6964,1954,2036
21,285040,7,-6,6189,6964,1939,2036
22,299058,9,-6,6946,6964,1932,2036
23,313044,7,-6,6386,6964,1967,2036
24,327842,7,-6,6175,6964,1946,2036
25,341849,9,-6,6934,6964,1929,2036
26,355786,7,-6,6128,6964,1785,2036
27,370661,9,-3,6944,6964,1975,2036
28,385494,7,-6,6360,6964,1953,2036
29,399498,7,-6,6039,6964,1951,2036
30,413622,9,-6,6938,6964,1870,2036
done,427149
