BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1208,21,5,6945,6964,1985,2036
2,15292,21,-6,6942,6964,1864,2036
3,29376,9,-3,6940,6964,1985,2036
4,43392,10,-6,6925,6964,1900,2036
5,57351,9,-3,6945,6964,1982,2036
6,71419,10,-6,6925,6964,1940,2036
7,85592,9,-3,6951,6964,1978,2036
8,99974,10,-6,6927,6964,1949,2036
9,114214,9,-3,6945,6964,1996,2036
10,128342,10,-6,6929,6964,1853,2036
11,142353,9,-3,6930,6964,1983,2036
12,157340,10,-6,6927,6964,1970,2036
13,172286,9,-3,6939,6964,1993,2036
14,187222,10,-6,6933,6964,1972,2036
15,202163,9,-3,6947,6964,1996,2036
16,216165,10,-6,6938,6964,1967,2036
17,231125,9,-3,6942,6964,2001,2036
18,245163,10,-6,6926,6964,1976,2036
19,260104,9,-3,6954,6964,1995,2036
20,274110,10,-6,6876,6964,1942,2036
21,288314,9,-3,6924,6964,1966,2036
22,303323,10,-6,6914,6964,1890,2036
23,318324,9,-3,6951,6964,1984,2036
24,332303,10,-6,6916,6964,1961,2036
25,346353,9,-3,6947,6964,1977,2036
26,360554,10,-6,6936,6964,1890,2036
27,374586,9,-3,6927,6964,1980,2036
28,388745,10,-6,6897,6964,1983,2036
29,403112,9,-3,6915,6964,1987,2036
30,417440,10,-6,6930,6964,1973,2036
done,431284
