BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1203	| 21	5	| 7001	7011	| 1926	1989
2	15383	| 21	-6	| 7006	7011	| 92	1989
3	30427	| 21	5	| 7003	7011	| 1938	1989
4	44429	| 21	-6	| 7011	7011	| 1890	1989
5	59359	| 9	-3	| 6988	7011	| 1938	1989
6	73348	| 10	-6	| 6975	7011	| 1701	1989
7	87509	| 9	-3	| 6985	7011	| 1921	1989
8	101672	| 10	-6	| 6961	7011	| 492	1989
9	116665	| 21	5	| 7003	7011	| 1934	1989
10	130775	| 21	-6	| 7004	7011	| 107	1989
11	144807	| 21	5	| 7007	7011	| 1938	1989
12	158844	| 21	-6	| 7004	7011	| 1856	1989
13	172872	| 9	-3	| 6976	7011	| 1907	1989
14	187016	| 10	-6	| 6963	7011	| 282	1989
15	201037	| 21	5	| 7008	7011	| 1955	1989
16	215243	| 21	-6	| 6990	7011	| 1700	1989
17	229263	| 9	-3	| 6979	7011	| 1124	1989
18	244194	| 10	-6	| 6957	7011	| 806	1989
19	258539	| 9	4	| 6959	7011	| 1971	1989
20	272614	| 10	-6	| 6991	7011	| 1248	1989
21	286627	| 9	-3	| 6962	7011	| 1637	1989
22	300654	| 10	-6	| 6987	7011	| 1203	1989
23	314792	| 9	-3	| 6972	7011	| 472	1989
24	329765	| 21	5	| 6995	7011	| 1918	1989
25	343837	| 21	-6	| 7010	7011	| 1900	1989
26	357967	| 9	-3	| 6956	7011	| 1656	1989
27	372117	| 10	-6	| 6934	7011	| 465	1989
28	386532	| 21	5	| 6999	7011	| 1931	1989
29	400833	| 21	-6	| 6998	7011	| 841	1989
30	415285	| 9	4	| 6884	7011	| 1926	1989
done	428876
