BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1195,21,5,3856,3869,862,1131
2,15677,21,-6,3848,3869,954,1131
3,29996,9,-3,3817,3869,800,1131
4,44580,10,-6,3821,3869,934,1131
5,58974,9,-3,3799,3869,932,1131
6,73559,10,-6,3816,3869,921,1131
7,88134,9,-3,3804,3869,941,1131
8,102729,10,-6,3843,3869,936,1131
9,117145,9,-3,3792,3869,976,1131
10,131669,10,-6,3826,3869,990,1131
11,146224,9,-3,3834,3869,918,1131
12,160582,10,-6,3831,3869,941,1131
13,174992,9,-3,3801,3869,918,1131
14,189505,10,-6,3833,3869,956,1131
15,203882,9,-3,3837,3869,946,1131
16,218234,10,-6,3843,3869,954,1131
17,232772,9,-3,3829,3869,1014,1131
18,247259,10,-6,3833,3869,943,1131
19,261699,9,-3,3774,3869,959,1131
20,276102,10,-6,3836,3869,919,1131
21,290498,9,-3,3822,3869,964,1131
22,304924,10,-6,3828,3869,942,1131
23,319334,9,-3,3802,3869,956,1131
24,333762,10,-6,3844,3869,939,1131
25,348256,9,-3,3818,3869,939,1131
26,362815,10,-6,3837,3869,943,1131
27,377223,9,-3,3765,3869,922,1131
28,391756,10,-6,3824,3869,802,1131
29,406368,9,-3,3824,3869,957,1131
30,420764,10,-6,3799,3869,925,1131
done,434760
