BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1206,21,5,5404,5416,1174,1584
2,15564,21,-6,5412,5416,1549,1584
3,29788,9,-3,5342,5416,1570,1584
4,44176,10,-6,5370,5416,1558,1584
5,58581,9,-3,5353,5416,1563,1584
6,72748,10,-6,5369,5416,1547,1584
7,87177,9,-3,5346,5416,1545,1584
8,101768,10,-6,5377,5416,1574,1584
9,115931,9,-3,5367,5416,1574,1584
10,130275,10,-6,5372,5416,1565,1584
11,144408,9,-3,5341,5416,1536,1584
12,158928,10,-6,5383,5416,1568,1584
13,173229,9,-3,5362,5416,1560,1584
14,187368,10,-6,5375,5416,1568,1584
15,201519,9,-3,5349,5416,1559,1584
16,215719,10,-6,5377,5416,1554,1584
17,229910,9,-3,5350,5416,1548,1584
18,244330,10,-6,5380,5416,1551,1584
19,258562,9,-3,5356,5416,1552,1584
20,272871,10,-6,5379,5416,1556,1584
21,287086,9,-3,5361,5416,1538,1584
22,301337,10,-6,5362,5416,1543,1584
23,315603,9,-3,5353,5416,1540,1584
24,329944,10,-6,5365,5416,1536,1584
25,344343,9,-3,5335,5416,1540,1584
26,358800,10,-6,5357,5416,1549,1584
27,373030,9,-3,5343,5416,1570,1584
28,387381,10,-6,5351,5416,1565,1584
29,401718,9,-3,5331,5416,1558,1584
30,415962,10,-6,5362,5416,1567,1584
done,429641
