BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1197,21,5,6952,6964,1995,2036
2,15339,21,-6,6939,6964,1946,2036
3,29686,9,-3,6941,6964,1985,2036
4,44085,10,-6,6922,6964,1884,2036
5,58381,9,-3,6946,6964,1993,2036
6,72647,10,-6,6881,6964,1843,2036
7,86993,9,-3,6942,6964,2004,2036
8,101237,10,-6,6920,6964,1821,2036
9,115651,9,-3,6858,6964,1978,2036
10,130097,10,-6,6889,6964,1957,2036
11,144310,9,-3,6948,6964,1991,2036
12,158427,10,-6,6911,6964,1818,2036
13,172745,9,-3,6944,6964,1985,2036
14,187222,10,-6,6931,6964,1830,2036
15,201632,9,-3,6948,6964,2000,2036
16,215903,10,-6,6917,6964,1750,2036
17,230118,9,-3,6928,6964,1971,2036
18,244401,10,-6,6915,6964,1969,2036
19,258802,9,-3,6931,6964,1991,2036
20,272861,10,-6,6907,6964,1738,2036
21,286955,9,-3,6949,6964,1989,2036
22,301117,10,-6,6919,6964,1724,2036
23,315144,9,-3,6939,6964,1974,2036
24,329121,10,-6,6915,6964,1262,2036
25,343211,9,-3,6940,6964,1964,2036
26,357405,10,-6,6912,6964,1695,2036
27,371532,9,-3,6947,6964,1986,2036
28,385621,10,-6,6915,6964,1840,2036
29,399654,9,-3,6932,6964,1975,2036
30,414141,10,-6,6883,6964,1803,2036
done,427520
