BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1188,21,5,772,773,215,227
2,16097,19,5,740,773,219,227
3,30874,19,4,769,773,223,227
4,44825,17,3,691,773,220,227
5,59614,19,2,719,773,219,227
6,74379,19,1,723,773,141,227
7,89174,19,2,773,773,219,227
8,104174,17,1,757,773,184,227
9,119149,15,2,772,773,71,227
10,134039,13,3,769,773,187,227
11,148209,11,4,664,773,216,227
12,163043,13,4,768,773,221,227
13,176964,11,3,768,773,221,227
14,191916,9,2,761,773,221,227
15,206796,7,1,588,773,212,227
16,221772,9,1,725,773,219,227
17,236521,9,0,685,773,219,227
18,251309,11,-3,704,773,173,227
19,266110,11,0,728,773,219,227
20,280911,11,-3,734,773,219,227
21,295649,11,-6,726,773,173,227
22,310392,11,-3,712,773,218,227
23,325131,11,-6,745,773,188,227
24,339894,9,-3,682,773,194,227
25,354702,11,0,706,773,136,227
26,369472,11,1,739,773,96,227
27,384220,11,2,724,773,220,227
28,398972,11,1,741,773,215,227
29,413778,11,1,711,773,221,227
30,428572,11,0,755,773,72,227
done,442000
