BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1196,21,5,2292,2321,613,679
2,15797,19,5,2312,2321,425,679
3,30529,17,5,2308,2321,429,679
4,45138,15,5,2315,2321,666,679
5,59838,13,4,2311,2321,664,679
6,74472,11,3,2306,2321,502,679
7,89050,9,4,2286,2321,604,679
8,103648,7,5,2146,2321,663,679
9,118239,7,4,2251,2321,521,679
10,133013,5,5,2260,2321,519,679
11,146965,3,5,2164,2321,663,679
12,161558,3,4,2180,2321,660,679
13,176149,3,3,2171,2321,489,679
14,190753,3,4,2149,2321,592,679
15,205396,3,5,2141,2321,609,679
16,220202,3,5,2177,2321,621,679
17,234912,3,5,2163,2321,549,679
18,249487,3,5,2144,2321,639,679
19,264183,3,5,2222,2321,649,679
20,278845,3,5,2112,2321,420,679
21,293525,3,5,2191,2321,584,679
22,308325,3,5,2200,2321,667,679
23,323096,3,4,2183,2321,662,679
24,337710,3,3,2176,2321,521,679
25,352295,3,4,2211,2321,365,679
26,367068,3,5,2193,2321,666,679
27,381690,3,4,2217,2321,558,679
28,396249,3,5,2217,2321,391,679
29,410846,3,5,2201,2321,480,679
30,425511,3,5,2239,2321,492,679
done,439610
