BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1215	| 21	5	| 7002	7011	| 1933	1989
2	15559	| 21	-6	| 7000	7011	| 48	1989
3	30493	| 21	5	| 6991	7011	| 1941	1989
4	44584	| 21	-6	| 6963	7011	| 86	1989
5	58803	| 21	5	| 7004	7011	| 1921	1989
6	72921	| 21	-6	| 7007	7011	| 566	1989
7	87004	| 21	5	| 7004	7011	| 1958	1989
8	101069	| 21	-6	| 7003	7011	| 405	1989
9	115280	| 21	5	| 7000	7011	| 1923	1989
10	129333	| 21	-6	| 7001	7011	| 210	1989
11	143443	| 21	5	| 6991	7011	| 1941	1989
12	157501	| 21	-6	| 7005	7011	| 236	1989
13	171586	| 21	5	| 6995	7011	| 1933	1989
14	185713	| 21	-6	| 6984	7011	| 216	1989
15	199764	| 21	5	| 6988	7011	| 1952	1989
16	213791	| 21	-6	| 7006	7011	| 671	1989
17	228030	| 9	4	| 6936	7011	| 1965	1989
18	242150	| 10	-6	| 6933	7011	| 1018	1989
19	256157	| 11	-6	| 6971	7011	| 1779	1989
20	270146	| 9	-3	| 6961	7011	| 1824	1989
21	284251	| 10	-6	| 6937	7011	| 53	1989
22	298602	| 21	5	| 6994	7011	| 1938	1989
23	312662	| 21	-6	| 6983	7011	| 1657	1989
24	326729	| 9	-3	| 6923	7011	| 1817	1989
25	340770	| 10	-6	| 6925	7011	| 400	1989
26	354830	| 21	5	| 6961	7011	| 1932	1989
27	368936	| 21	-6	| 6998	7011	| 222	1989
28	383106	| 21	5	| 7007	7011	| 1949	1989
29	397120	| 21	-6	| 7006	7011	| 421	1989
30	412127	| 21	5	| 6993	7011	| 1935	1989
done	425649
