BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1246,21,5,6943,6964,1992,2036
2,16125,19,4,6951,6964,2001,2036
3,30170,17,3,6957,6964,2011,2036
4,45090,15,2,6945,6964,1994,2036
5,60003,13,1,6921,6964,1993,2036
6,74850,11,0,6921,6964,2000,2036
7,88778,9,-3,6945,6964,2004,2036
8,102709,7,-6,6471,6964,1889,2036
9,116708,7,-6,6472,6964,1998,2036
10,131635,7,-6,6439,6964,1970,2036
11,145640,7,-6,6450,6964,1993,2036
12,160450,7,-6,6425,6964,1983,2036
13,175317,7,-6,6365,6964,2002,2036
14,190340,7,-6,6413,6964,2012,2036
15,205297,7,-6,6278,6964,1969,2036
16,220236,7,-6,6431,6964,1976,2036
17,234153,7,-6,6627,6964,1727,2036
18,249046,7,-3,6454,6964,2001,2036
19,263939,7,-6,6356,6964,2015,2036
20,277939,7,-6,6363,6964,2001,2036
21,291951,7,-6,6228,6964,1990,2036
22,305950,9,-6,6937,6964,2013,2036
23,320044,7,-6,6184,6964,1901,2036
24,334187,9,-6,6945,6964,1854,2036
25,348263,7,-6,6280,6964,1847,2036
26,362919,7,-6,6371,6964,1993,2036
27,377021,7,-6,6277,6964,1960,2036
28,391370,7,-6,6270,6964,1980,2036
29,405578,7,-6,6251,6964,1967,2036
30,419619,9,-6,6939,6964,1971,2036
done,433179
