BATCH,TIME_MS,PWR_W,PWR_Z,RX_W,TX_W,RX_Z,TX_Z
1,1200,21,5,773,773,217,227
2,16147,21,-6,768,773,218,227
3,30120,off,-3,0,0,804,1000
4,44121,off,0,0,0,819,1000
5,58132,off,1,0,0,911,1000
6,72114,off,2,0,0,637,1000
7,86124,off,5,0,0,768,1000
8,100277,19,-6,732,773,113,227
9,114295,off,5,0,0,733,1000
10,128293,19,-6,773,773,90,227
11,143218,off,4,0,0,847,1000
12,157372,off,5,0,0,933,1000
13,171599,19,-6,772,773,104,227
14,186499,off,5,0,0,754,1000
15,200484,19,-6,771,773,158,227
16,215410,off,-3,0,0,788,1000
17,229417,off,0,0,0,826,1000
18,243436,off,1,0,0,808,1000
19,257436,off,2,0,0,633,1000
20,271403,off,5,0,0,754,1000
21,285394,19,-6,772,773,162,227
22,299408,off,-3,0,0,790,1000
23,313409,off,0,0,0,957,1000
24,327404,off,1,0,0,786,1000
25,341416,off,2,0,0,804,1000
26,355410,off,5,0,0,744,1000
27,369392,19,-6,771,773,196,227
28,384414,off,-3,0,0,768,1000
29,398601,off,0,0,0,882,1000
30,412797,off,1,0,0,802,1000
done,426413
