BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1210	| 21	5	| 5402	5453	| 1498	1547
2	15630	| 21	-6	| 5379	5453	| 1419	1547
3	29983	| 9	-3	| 5337	5453	| 1507	1547
4	44279	| 10	-6	| 5398	5453	| 1273	1547
5	58669	| 9	-3	| 5362	5453	| 1515	1547
6	73070	| 10	-6	| 5415	5453	| 1424	1547
7	87605	| 9	-3	| 5395	5453	| 1502	1547
8	101977	| 10	-6	| 5424	5453	| 1479	1547
9	116188	| 9	-3	| 5391	5453	| 1511	1547
10	130623	| 10	-6	| 5386	5453	| 1451	1547
11	145012	| 9	-3	| 5376	5453	| 1510	1547
12	159330	| 10	-6	| 5427	5453	| 430	1547
13	173612	| 9	2	| 5367	5453	| 1508	1547
14	187974	| 10	-6	| 5438	5453	| 780	1547
15	202499	| 9	5	| 5285	5453	| 1500	1547
16	216776	| 10	-6	| 5350	5453	| 426	1547
17	231372	| 9	2	| 5056	5453	| 1513	1547
18	246000	| 10	-6	| 4950	5453	| 132	1547
19	260409	| 11	off	| 6828	7000	| 0	0
20	275278	| 12	off	| 6898	7000	| 0	0
21	290068	| 13	off	| 6942	7000	| 0	0
22	304626	| 14	off	| 6892	7000	| 0	0
23	319367	| 15	off	| 6899	7000	| 0	0
24	333939	| 9	-6	| 5256	5453	| 1463	1547
25	348622	| 10	-6	| 5277	5453	| 680	1547
26	362787	| 9	4	| 5079	5453	| 1515	1547
27	377361	| 10	-6	| 5406	5453	| 1480	1547
28	391538	| 9	-3	| 5410	5453	| 1379	1547
29	405723	| 10	-6	| 5344	5453	| 881	1547
30	420104	| 9	-3	| 5340	5453	| 1023	1547
done	433769
