BATCH	TIME_MS	| PWR_W	PWR_Z	| RX_W	TX_W	| RX_Z	TX_Z
1	1206	| 21	5	| 778	779	| 216	221
2	16055	| 21	-6	| 778	779	| 177	221
3	31022	| off	-3	| 0	0	| 864	1000
4	44988	| off	0	| 0	0	| 914	1000
5	58997	| off	1	| 0	0	| 732	1000
6	73012	| off	5	| 0	0	| 952	1000
7	86997	| 19	-6	| 772	779	| 0	221
8	101941	| 9	-3	| 777	779	| 200	221
9	116929	| off	0	| 0	0	| 943	1000
10	131127	| off	1	| 0	0	| 259	1000
11	145330	| 19	1	| 774	779	| 48	221
12	160192	| 9	2	| 776	779	| 76	221
13	175073	| off	3	| 0	0	| 961	1000
14	189296	| off	4	| 0	0	| 961	1000
15	203472	| off	5	| 0	0	| 912	1000
16	217662	| 19	-6	| 775	779	| 0	221
17	232677	| 9	-3	| 769	779	| 55	221
18	247680	| 9	1	| 773	779	| 213	221
19	262678	| off	2	| 0	0	| 234	1000
20	276875	| 19	1	| 779	779	| 23	221
21	291742	| 9	2	| 771	779	| 202	221
22	306636	| off	3	| 0	0	| 224	1000
23	320630	| 19	1	| 749	779	| 204	221
24	335733	| off	2	| 0	0	| 926	1000
25	349941	| off	3	| 0	0	| 827	1000
26	364129	| off	5	| 0	0	| 939	1000
27	378334	| 19	-6	| 776	779	| 0	221
28	393354	| 9	-3	| 763	779	| 183	221
29	408281	| off	0	| 0	0	| 670	1000
30	422468	| off	5	| 0	0	| 942	1000
done	436059
